country_name,region,forest_1990,forest_2016,forest_area_change,pct_change,land_1990,land_2016
Cabo Verde,Sub-Saharan Africa,577.5,908.6000061,331.1000061,57.3333343896104,4029.9882,4029.9882
Iceland,Europe & Central Asia,161.0000038,505,343.9999962,213.664588870028,100249.9904,100249.9904
Israel,Middle East & North Africa,1320,1671.999969,351.999969,26.6666643181818,21639.9939,21639.9939
Czech Republic,Europe & Central Asia,26290,26690,400,1.58724325612905,77270.0082,77219.9953
Samoa,East Asia & Pacific,1300,1710,410,31.5384615384615,2829.9894,2829.9894
"Gambia, The",Sub-Saharan Africa,4420,4896.000061,476.000061,10.7692321493213,10120.0106,10120.0106
Slovenia,Europe & Central Asia,11880,12481.99951,601.99951,5.05693300883081,20139.9954,20141.9897
Fiji,East Asia & Pacific,9529.000244,10220.59998,691.599736,7.25784151842656,18269.9895,18269.9895
Georgia,Europe & Central Asia,27520,28223.99902,703.999019999999,2.5581359738372,69490.0108,69490.0108
Croatia,Europe & Central Asia,18500,19224.00024,724.000240000001,3.82064462408661,55909.9933,55960.0062
Denmark,Europe & Central Asia,5432.000122,6172.199707,740.199584999999,14.7090637794209,42390.012,41990.0124
United Arab Emirates,Middle East & North Africa,2450,3236.600037,786.600037,32.1061239591837,71020.0015,71020.0015
North Macedonia,Europe & Central Asia,9120,9980,860,10.3410046111535,25429.9927,25219.9955
Moldova,Europe & Central Asia,3190,4136.000061,946.000061,29.5763531151211,32870.0008,32889.9956
Austria,Europe & Central Asia,37760,38708.00049,948.000489999999,2.58140761371011,82580.0003,82522.9944
French Polynesia,East Asia & Pacific,550,1550,1000,181.818181818182,3660.0067,3660.0067
Switzerland,Europe & Central Asia,11510,12578.00049,1068.00049,9.31484780796283,39528.9944,39515.9926
Eswatini,Sub-Saharan Africa,4720,5905.999756,1185.999756,25.1271134745763,17200.0087,17200.0087
Syrian Arab Republic,Middle East & North Africa,3720,4910,1190,32.0970732533854,183780.0027,183629.9899
Germany,Europe & Central Asia,113000,114210,1210,1.00425914974506,349130.0057,349359.9977
Uzbekistan,Europe & Central Asia,30450,32087.80029,1637.80029,5.37865448275862,425399.989,425399.989
Rwanda,Sub-Saharan Africa,3180,4867.999878,1687.999878,53.0817571698113,24670.009,24670.009
